"name","region","year","POP","GDP","HEX","LAN","MOR","GDP_cap","HEX_total"
"Macedonia, FYR","Europe & Central Asia",2002,2028706,4018365247,9.01364237,25430,14.5,1980.75287744996,36220107248.4947
"Madagascar","Sub-Saharan Africa",2002,16736029,4397254608,5.29448848,581540,97.2,262.741813365644,23281213865.6829
"Malawi","Sub-Saharan Africa",2002,11788731,3495597587,4.82253715,94280,148,296.520260492838,16857649224.7579
"Malaysia","East Asia & Pacific",2002,24401977,1.01e+11,3.40338142,328550,8.9,4139.00890079521,343741523420
"Maldives","South Asia",2002,297000,910864148.4,5.77722073,300,34.3,3066.88265454545,5262263240.35028
"Mali","Sub-Saharan Africa",2002,11723017,3889758024,6.31707332,1220190,201.8,331.805202022653,24571886634.6663
"Malta","Middle East & North Africa",2002,395969,4296164768,7.85889852,320,7.3,10849.7502784309,33763122936.9113
"Marshall Islands","East Asia & Pacific",2002,52161,124735071.9,17.44297261,180,41.1,2391.3474032323,2175750442.65808
"Mauritania","Sub-Saharan Africa",2002,2884672,1324426607,5.31066019,1030700,112.9,459.125545989284,7033579656.37168
"Mauritius","Sub-Saharan Africa",2002,1204621,4767303154,4.23599832,2030,16.1,3957.51290571889,20194288151.2747
"Mexico","Latin America & Caribbean",2002,105578297,7.42e+11,5.5210778,1943950,22.6,7027.95954361719,4096639727600
"Micronesia, Fed. Sts.","East Asia & Pacific",2002,106983,241543400,8.01953064,700,51.6,2257.77366497481,1937064697.18978
"Moldova","Europe & Central Asia",2002,3623062,1661818168,8.31253703,32880,25.4,458.67781671967,13813925058.6268
"Monaco","Europe & Central Asia",2002,32648,2905973022,3.39151509,2,4.8,89009.2202278853,9855651355.2459
"Mongolia","East Asia & Pacific",2002,2443503,1396555772,5.81219045,1553560,54.3,571.538390581063,8117048120.91078
"Montenegro","Europe & Central Asia",2002,609828,1284504508,8.33151401,13450,12.6,2106.33901362351,10701867304.3102
"Morocco","Middle East & North Africa",2002,29535591,42236836821,5.30833933,446300,45.8,1430.03188326247,224207462071.706
"Mozambique","Sub-Saharan Africa",2002,19348715,5031510909,6.44871089,786380,154.5,260.043672615985,32446759192.0221
"Myanmar","East Asia & Pacific",2002,48689952,NA,2.05040164,653540,77.5,NA,NA
"Namibia","Sub-Saharan Africa",2002,1957749,3361251198,6.16746382,823290,75.8,1716.89588297581,20730395153.5967
"Nauru","East Asia & Pacific",2002,10073,NA,15.56524263,20,39.5,NA,NA
"Nepal","South Asia",2002,24516969,6050875807,5.60111826,143350,71.5,246.803583550642,33891670971.5799
"Netherlands","Europe & Central Asia",2002,16148929,4.65e+11,8.34457362,33760,5.9,28794.4791880626,3880226733300
"New Caledonia","East Asia & Pacific",2002,221490,NA,NA,18280,NA,NA,NA
"New Zealand","East Asia & Pacific",2002,3948500,66628222189,7.8905146,263310,7,16874.3123183487,525730959954.349
"Nicaragua","Latin America & Caribbean",2002,5171736,5224213018,5.71455164,120340,36.4,1010.14688646134,29854035069.7212
"Niger","Sub-Saharan Africa",2002,12075991,2170481509,6.55041776,1266700,207,179.735270504922,14217560624.3052
"Nigeria","Sub-Saharan Africa",2002,129246283,59116868251,2.43166603,910770,175.6,457.397047549909,143752480325.942
"Northern Mariana Islands","East Asia & Pacific",2002,68499,NA,NA,460,NA,NA,NA
"Norway","Europe & Central Asia",2002,4538159,1.95e+11,9.61619197,365245,4.5,42968.9660498894,1875157434150
"Oman","Middle East & North Africa",2002,2323203,20142782835,3.18048539,309500,14.6,8670.26378452507,64063826520.6603
"Pakistan","South Asia",2002,144271586,72306820396,2.76317772,770880,107.5,501.185454466412,199796595122.269
"Palau","East Asia & Pacific",2002,19575,163500000,8.41396898,460,25.1,8352.49042145594,1375683928.23
"Panama","Latin America & Caribbean",2002,3144728,12994218400,8.0293993,74340,24.8,4132.06433115996,104335768125.007
"Papua New Guinea","East Asia & Pacific",2002,5653284,2999542369,7.68937382,452860,77,530.584058575511,23064602564.1694
"Paraguay","Latin America & Caribbean",2002,5508615,6325151760,6.77142556,397300,31.5,1148.22904849949,42830294298.543
"Peru","Latin America & Caribbean",2002,26601463,54436633340,4.93871106,1280000,33.3,2046.37742442963,268846803145.423
"Philippines","East Asia & Pacific",2002,81294378,81357602950,2.79116169,298170,38.1,1000.77772844267,227082224544.271
"Poland","Europe & Central Asia",2002,38230364,1.99e+11,6.32075444,306290,8.4,5205.28656227286,1257830133560
"Portugal","Europe & Central Asia",2002,10419631,1.34e+11,9.15465809,91500,6.1,12860.3402558114,1226724184060
"Puerto Rico","Latin America & Caribbean",2002,3823701,72546194000,NA,8870,NA,18972.7685297569,NA
